trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
6127020,74,3,INBOUND-EAST LIBERTY,,1,74 -207,shp-74-03,1,1
6018010,74,4,INBOUND-EAST LIBERTY,,1,74 -093,shp-74-04,1,1
9213020,74,3,INBOUND-EAST LIBERTY,,1,74 -209,shp-74-03,1,1
5039080,74,2,INBOUND-EAST LIBERTY,,1,74 -093,shp-74-04,1,1
4032020,74,3,INBOUND-EAST LIBERTY,,1,74 -206,shp-74-03,1,1
4023020,74,3,INBOUND-EAST LIBERTY,,1,89 -347,shp-74-03,1,1
3601020,74,3,INBOUND-EAST LIBERTY,,1,74 -201,shp-74-03,1,1
2196020,74,3,INBOUND-EAST LIBERTY,,1,74 -201,shp-74-03,1,1
4511020,74,3,INBOUND-EAST LIBERTY,,1,74 -210,shp-74-03,1,1
3414070,74,1,INBOUND-EAST LIBERTY,,1,74 -116,shp-74-04,1,1
4127020,74,3,INBOUND-EAST LIBERTY,,1,89 -344,shp-74-03,1,1
4068010,74,4,INBOUND-EAST LIBERTY,,1,74 -093,shp-74-04,1,1
2992020,74,3,INBOUND-EAST LIBERTY,,1,74 -211,shp-74-03,1,1
3854020,74,3,INBOUND-EAST LIBERTY,,1,74 -211,shp-74-03,1,1
5425080,74,2,INBOUND-EAST LIBERTY,,1,74 -092,shp-74-04,1,1
6523010,74,4,INBOUND-EAST LIBERTY,,1,74 -094,shp-74-04,1,1
6232020,74,3,INBOUND-EAST LIBERTY,,1,74 -203,shp-74-03,1,1
8580020,74,3,INBOUND-EAST LIBERTY,,1,74 -209,shp-74-03,1,1
930020,74,3,INBOUND-EAST LIBERTY,,1,74 -206,shp-74-03,1,1
6287070,74,1,INBOUND-EAST LIBERTY,,1,74 -118,shp-74-04,1,1
6427070,74,1,INBOUND-EAST LIBERTY,,1,74 -116,shp-74-04,1,1
7984070,74,1,INBOUND-EAST LIBERTY,,1,74 -118,shp-74-04,1,1
6630080,74,2,INBOUND-EAST LIBERTY,,1,74 -094,shp-74-04,1,1
3081020,74,3,INBOUND-EAST LIBERTY,,1,74 -212,shp-74-03,1,1
1804080,74,2,INBOUND-EAST LIBERTY,,1,74 -093,shp-74-04,1,1
1907080,74,2,INBOUND-EAST LIBERTY,,1,74 -092,shp-74-04,1,1
3301020,74,3,INBOUND-EAST LIBERTY,,1,89 -345,shp-74-03,1,1
2328070,74,1,INBOUND-EAST LIBERTY,,1,74 -120,shp-74-04,1,1
1412020,74,3,INBOUND-EAST LIBERTY,,1,74 -207,shp-74-03,1,1
13927020,74,3,INBOUND-EAST LIBERTY,,1,74 -208,shp-74-03,1,1
13767070,74,1,INBOUND-EAST LIBERTY,,1,74 -117,shp-74-04,1,1
2030010,74,4,INBOUND-EAST LIBERTY,,1,74 -092,shp-74-04,1,1
1955020,74,3,INBOUND-EAST LIBERTY,,1,74 -212,shp-74-03,1,1
13112070,74,1,INBOUND-EAST LIBERTY,,1,74 -122,shp-74-04,1,1
1730070,74,1,INBOUND-EAST LIBERTY,,1,74 -123,shp-74-04,1,1
13465020,74,3,INBOUND-EAST LIBERTY,,1,74 -208,shp-74-03,1,1
10256020,74,3,INBOUND-EAST LIBERTY,,1,74 -210,shp-74-03,1,1
11530020,74,3,INBOUND-EAST LIBERTY,,1,74 -204,shp-74-03,1,1
12010,74,4,INBOUND-EAST LIBERTY,,1,74 -093,shp-74-04,1,1
12219070,74,1,INBOUND-EAST LIBERTY,,1,74 -119,shp-74-04,1,1
12521080,74,2,INBOUND-EAST LIBERTY,,1,74 -094,shp-74-04,1,1
11692020,74,3,INBOUND-EAST LIBERTY,,1,89 -346,shp-74-03,1,1
12052010,74,4,INBOUND-EAST LIBERTY,,1,74 -094,shp-74-04,1,1
11971010,74,4,OUTBOUND-HOMEWOOD,,0,74 -093,shp-74-54,1,1
1081070,74,1,OUTBOUND-HOMEWOOD,,0,74 -118,shp-74-54,1,1
10443070,74,1,OUTBOUND-HOMEWOOD,,0,74 -117,shp-74-54,1,1
13758080,74,2,OUTBOUND-HOMEWOOD,,0,74 -093,shp-74-54,1,1
12729080,74,2,OUTBOUND-HOMEWOOD,,0,74 -093,shp-74-54,1,1
1388010,74,4,OUTBOUND-HOMEWOOD,,0,74 -092,shp-74-54,1,1
1741070,74,1,OUTBOUND-HOMEWOOD,,0,74 -120,shp-74-54,1,1
1924070,74,1,OUTBOUND-HOMEWOOD,,0,74 -119,shp-74-54,1,1
3141010,74,4,OUTBOUND-HOMEWOOD,,0,74 -092,shp-74-54,1,1
6961080,74,2,OUTBOUND-HOMEWOOD,,0,74 -093,shp-74-54,1,1
7281080,74,2,OUTBOUND-HOMEWOOD,,0,74 -094,shp-74-54,1,1
8216010,74,4,OUTBOUND-HOMEWOOD,,0,74 -094,shp-74-54,1,1
4650070,74,1,OUTBOUND-HOMEWOOD,,0,74 -118,shp-74-54,1,1
